,% First Language Not English,% Students With Disabilities,% High Needs,% Economically Disadvantaged,Average In-District Expenditures per Pupil,Average Salary,Average Class Size,SAT
1755,3.4,25.4,47.6,29.1,0.914784,0.8326,0.46,1371.0
1763,2.4,13.0,19.4,8.1,0.705847,0.71281,0.48333333333333334,1549.0
1768,3.5,21.5,47.8,37.0,0.6855565,0.76449,0.5066666666666666,1383.0
1778,11.8,18.0,24.1,5.6,0.605463,0.74033,0.5666666666666667,1790.0
1781,14.2,18.1,39.8,26.6,0.605608,0.59424,0.61,1444.0
1792,17.6,14.3,35.3,22.0,0.7225885,0.73237,0.5466666666666666,1492.0
1796,44.0,25.8,70.2,54.7,0.679408,0.78256,0.51,1355.0
1802,78.0,11.7,83.5,65.0,0.679408,0.78256,0.5866666666666667,1085.0
1805,47.9,16.5,58.9,43.9,0.679408,0.78256,0.45,1405.0
1822,57.7,25.4,81.4,63.6,0.679408,0.78256,0.49333333333333335,1193.0
1826,57.3,23.8,75.9,58.6,0.679408,0.78256,0.5333333333333333,1345.0
1831,68.5,11.0,68.5,57.1,0.679408,0.78256,0.6433333333333333,1334.0
1838,40.6,12.6,57.0,43.8,0.679408,0.78256,0.5399999999999999,1291.0
1851,1.0,18.1,55.2,47.8,,,0.84,1552.0
1854,37.5,17.7,78.0,69.5,,,0.4966666666666667,1233.0
1858,6.2,20.4,49.9,36.1,,,0.8566666666666667,1477.0
