,% First Language Not English,% Students With Disabilities,% High Needs,% Economically Disadvantaged,Average In-District Expenditures per Pupil,Average Salary,Average Class Size,SAT
492,17.6,17.8,34.3,21.9,19766.61,80003.0,12.9,1759.0
496,1.1,15.8,25.8,14.1,12480.34,68799.0,16.0,1513.0
499,15.4,29.2,47.1,22.5,18669.82,77409.0,16.2,1290.0
501,1.1,26.8,56.1,45.3,14546.87,63407.0,13.7,1395.0
505,8.6,19.8,38.1,25.2,13579.69,60863.0,15.4,1496.0
512,2.5,21.1,52.8,41.9,,,15.8,1506.0
513,5.5,14.1,30.7,22.1,17453.01,71618.0,12.1,1588.0
516,5.5,15.9,24.3,9.4,13149.77,62286.0,16.2,1564.0
517,0.7,9.8,19.2,10.0,18348.63,75378.0,17.4,1452.0
519,3.8,14.5,29.7,17.9,12571.27,61779.0,15.4,1521.0
523,7.0,25.4,42.0,22.7,21354.33,80551.0,15.8,1297.0
524,11.2,17.9,44.6,29.4,,,20.6,1535.0
525,12.1,27.2,70.8,56.2,,,15.8,1200.0
526,33.0,20.2,75.0,61.1,,,14.4,1060.0
527,20.0,22.2,61.7,39.0,,,34.0,1339.0
531,2.4,9.9,20.5,12.0,12063.66,82349.0,16.9,1545.0
538,1.5,12.6,27.6,17.1,19277.31,66221.0,17.7,1502.0
539,3.2,18.8,38.4,26.2,17567.62,80716.0,17.4,1365.0
542,4.3,27.3,54.9,35.8,24552.02,68981.0,13.3,1347.0
547,1.5,10.7,27.8,21.2,15890.36,69081.0,15.1,1497.0
550,30.5,22.6,70.3,56.3,,,12.1,1255.0
551,14.8,22.0,65.2,51.8,,,17.8,1122.0
552,24.9,19.0,49.7,34.8,,,16.7,1344.0
556,5.0,16.5,21.1,5.4,19193.5,100731.0,15.3,1856.0
558,14.3,17.4,46.8,34.3,16951.87,67658.0,14.7,1451.0
566,1.2,13.0,23.0,14.0,12441.72,67485.0,16.9,1626.0
569,2.1,11.7,14.6,3.4,18470.91,94698.0,12.9,1841.0
578,5.5,10.4,24.0,17.2,10878.67,66931.0,19.2,1525.0
579,50.7,16.4,68.0,54.0,,,17.1,1178.0
580,6.8,21.2,38.3,21.0,21718.77,68534.0,16.1,1420.0
583,2.7,14.5,40.0,29.5,,,13.7,1651.0
584,20.3,9.0,32.8,17.0,,,22.2,1500.0
589,40.1,14.9,39.9,22.7,16316.86,76040.0,17.0,1605.0
599,1.0,15.9,19.7,5.3,,,17.7,1665.0
603,4.2,12.7,17.4,5.9,11683.31,73230.0,16.9,1630.0
612,1.0,14.6,21.2,10.8,11616.22,74984.0,15.0,1546.0
617,3.3,19.1,31.1,17.5,16972.61,65008.0,13.3,1574.0
620,7.9,18.1,50.4,41.5,12638.25,61036.0,15.9,1338.0
624,3.2,16.4,37.7,28.6,15869.45,57985.0,11.6,1610.0
627,0.2,13.6,20.4,10.2,12037.39,66512.0,12.8,1623.0
635,8.2,16.0,44.6,34.6,17719.98,58115.0,12.0,1471.0
636,16.6,13.4,59.4,49.7,,,16.4,1353.0
639,9.7,25.6,47.9,32.6,16061.48,72400.0,14.9,1480.0
646,3.4,13.7,21.7,10.8,10775.76,67559.0,18.0,1609.0
653,5.2,14.7,30.7,20.5,11296.4,57229.0,14.8,1517.0
655,5.4,9.8,42.3,36.1,18102.12,80411.0,13.5,1327.0
656,40.8,20.4,66.9,52.1,22259.51,77944.0,12.7,1158.0
657,24.1,21.2,60.3,43.9,19131.19,79965.0,17.9,1303.0
658,23.2,11.3,45.2,36.9,18681.57,79750.0,14.5,1318.0
662,12.1,17.9,50.7,44.4,15104.92,60968.0,13.4,1476.0
668,1.0,12.1,14.3,3.1,12503.06,78291.0,17.7,1680.0
672,7.4,7.8,18.2,11.2,12240.15,60970.0,13.1,1625.0
676,0.9,13.2,18.3,6.3,14975.83,73336.0,14.8,1689.0
679,11.7,7.7,47.3,41.8,,,18.1,1460.0
682,2.7,13.6,21.5,11.5,13239.45,71211.0,17.5,1562.0
687,3.4,18.1,29.0,16.3,16387.61,71416.0,13.3,1555.0
691,1.5,16.6,21.0,5.7,12094.9,76609.0,16.7,1520.0
694,3.1,11.0,16.5,5.3,15103.31,83504.0,15.6,1766.0
697,0.5,18.2,29.3,14.1,13108.95,58030.0,11.7,1653.0
707,17.2,17.1,45.6,34.6,12457.32,67376.0,16.8,1520.0
719,0.7,11.2,16.4,6.4,11592.22,77082.0,14.8,1687.0
724,15.1,15.1,46.0,34.6,12785.25,62041.0,12.9,1381.0
728,3.8,13.5,17.8,5.6,12351.09,78598.0,16.7,1691.0
734,42.8,16.6,68.3,62.0,16026.68,67517.0,18.1,1416.0
742,63.5,38.9,91.7,83.3,16026.68,67517.0,12.7,1083.0
744,4.6,16.4,22.9,9.0,11568.45,65526.0,14.2,1577.0
750,2.5,11.5,14.2,3.8,13080.71,82436.0,17.6,1676.0
756,16.2,15.5,31.8,19.3,13962.57,73889.0,15.1,1521.0
758,1.3,18.0,37.3,27.3,17044.1,80206.0,11.1,1522.0
761,4.8,18.7,28.5,9.7,,,18.1,1590.0
767,2.9,12.3,19.0,9.0,13368.23,68727.0,12.2,1562.0
774,2.3,11.0,17.1,8.1,12376.12,69091.0,19.1,1630.0
796,75.5,22.5,84.1,72.8,14115.28,70872.0,14.1,1064.0
806,6.6,12.6,36.7,28.1,17810.4,64212.0,12.3,1559.0
807,5.3,12.3,28.8,19.3,11748.62,72758.0,16.3,1566.0
811,6.4,9.5,25.9,18.9,18273.0,72217.0,11.3,1789.0
814,20.7,25.7,52.2,36.5,12837.48,68580.0,,1635.0
819,21.7,15.3,39.8,27.4,12837.48,68580.0,13.4,1452.0
833,24.1,9.9,18.0,5.6,16939.5,80975.0,19.2,1875.0
839,3.6,15.4,19.5,5.5,16151.19,91243.0,19.7,1759.0
840,2.8,18.6,22.5,5.4,12571.87,72469.0,15.8,1745.0
847,4.5,15.8,20.6,5.5,13342.07,69770.0,18.9,1663.0
866,18.5,10.3,56.3,44.3,13577.86,76951.0,18.3,1402.0
879,9.2,14.3,30.4,20.3,13854.68,59724.0,14.6,1494.0
882,2.7,12.5,21.0,14.1,11525.43,74592.0,15.3,1563.0
891,58.1,12.0,57.6,43.8,13379.26,73395.0,19.9,1347.0
901,60.1,11.5,62.3,44.3,13379.26,73395.0,18.6,1344.0
902,62.2,24.8,68.2,48.7,13379.26,73395.0,15.8,1260.0
913,3.5,14.8,21.3,7.8,13627.87,79560.0,16.4,1618.0
917,60.0,19.3,76.1,56.4,,,26.5,1372.0
918,9.3,0.0,5.2,5.2,,,16.3,2132.0
924,52.5,14.1,58.3,39.9,12946.88,83740.0,19.1,1406.0
927,2.6,9.7,18.4,8.0,14794.24,72385.0,13.4,1778.0
933,4.4,11.5,18.7,9.1,13243.08,77465.0,14.3,1644.0
939,4.8,20.5,26.2,8.8,13503.8,67142.0,14.2,1692.0
948,37.0,15.4,46.1,28.0,15047.5,75495.0,13.5,1500.0
954,1.7,14.0,22.7,10.2,12077.79,70582.0,18.2,1550.0
957,12.1,19.1,37.5,19.8,27435.71,88815.0,12.0,1568.0
960,1.9,13.7,18.1,5.8,14142.63,94253.0,15.8,1663.0
963,2.9,17.3,36.6,23.6,16488.45,73750.0,11.4,1470.0
970,8.4,17.7,31.7,17.1,14343.99,68774.0,16.4,1610.0
972,1.2,10.5,13.5,3.8,13333.46,78845.0,16.6,1698.0
982,19.5,15.6,40.2,24.8,15549.73,72648.0,,1558.0
983,7.0,36.2,58.8,36.2,15549.73,72648.0,,1208.0
987,0.3,11.7,15.9,6.3,12353.44,85216.0,16.6,1608.0
993,8.6,14.9,23.8,11.8,11561.75,60939.0,18.1,1591.0
1000,2.9,12.5,20.1,10.3,12895.83,75823.0,13.6,1587.0
1004,24.6,10.8,38.1,30.2,11950.09,77384.0,16.7,1414.0
1010,1.0,17.6,31.8,21.0,13017.71,67080.0,14.6,1491.0
1015,22.0,13.2,37.6,26.4,12788.8,71246.0,16.2,1511.0
1020,4.4,17.3,35.4,22.7,14091.49,75778.0,15.2,1431.0
1023,0.5,11.0,18.7,9.7,12860.86,76193.0,14.5,1515.0
1029,8.3,11.9,21.5,11.2,13231.61,80117.0,16.9,1609.0
1031,5.0,48.3,62.4,26.1,28226.88,81199.0,12.0,1398.0
1035,0.2,21.8,46.7,34.6,17977.05,74302.0,12.3,1601.0
1039,7.0,14.9,30.9,20.5,16587.14,71252.0,12.3,1602.0
1042,1.4,8.7,22.6,17.1,13515.13,60397.0,14.7,1477.0
1044,3.8,14.6,34.4,23.0,18715.0,76994.0,18.7,1383.0
1045,0.7,14.8,27.0,17.6,18458.22,79391.0,13.3,1755.0
1046,33.6,13.2,29.3,17.2,,,22.7,1625.0
1050,21.7,16.9,37.5,17.3,20200.23,84528.0,12.8,1525.0
1053,0.8,14.0,29.0,20.2,12522.63,63710.0,11.9,1499.0
1061,2.2,13.2,16.9,5.0,13889.52,71458.0,14.5,1654.0
1062,1.1,34.2,47.8,19.5,17111.12,71400.0,15.6,1364.0
1069,6.9,15.7,23.6,10.3,12958.47,68893.0,17.3,1658.0
1071,3.9,12.5,28.1,17.9,17638.34,80325.0,13.7,1571.0
1077,8.0,15.6,19.7,5.5,15061.8,87555.0,17.5,1730.0
1098,40.5,18.4,76.4,58.9,12960.92,73320.0,15.6,1319.0
1110,3.0,10.4,19.0,10.5,13701.74,78278.0,16.3,1656.0
1127,17.5,24.6,32.1,10.4,17156.03,75665.0,15.9,1750.0
1128,25.9,17.8,28.4,8.8,17156.03,75665.0,13.9,1815.0
1136,0.0,17.4,29.4,14.0,22390.88,74644.0,16.5,1496.0
1139,1.1,23.7,59.5,53.3,15498.75,62613.0,11.0,1417.0
1145,6.7,10.9,19.0,10.8,10810.59,77466.0,18.6,1570.0
1152,5.3,12.0,22.1,12.4,10763.77,72079.0,16.9,1575.0
1157,2.2,12.2,40.0,34.3,14088.95,71668.0,13.0,1447.0
1161,1.9,13.7,22.6,12.6,12917.96,64610.0,17.0,1553.0
1169,1.4,15.5,19.9,5.9,13408.31,73771.0,20.2,1646.0
1175,7.9,15.0,28.7,18.6,13562.57,58980.0,17.2,1717.0
1178,9.3,11.3,17.3,5.5,15029.52,86947.0,16.4,1669.0
1185,3.3,13.2,32.7,24.0,11818.16,68961.0,12.9,1458.0
1188,19.1,23.2,48.6,30.8,20309.02,82279.0,19.4,1306.0
